0,1,2,3,4
-3.937857939364146e-11,0.0,-2.4757946573503102e-11,-1.8156950324435567e-11,-6.914971048624247e-12
-4.24244160411873e-11,0.0,-2.6861412875094906e-11,-3.509089312868707e-11,-7.177721104584158e-12
-4.8476278246160323e-11,0.0,-2.8264000125371885e-11,-1.3803431362949395e-11,-7.309022230184424e-12
-4.7469234830438724e-11,0.0,-3.040830178548546e-11,-1.4249339234416668e-11,-7.67998793774689e-12
-5.031918141184899e-11,0.0,-3.2853979392065565e-11,-1.4742537437800852e-11,-8.220460378091261e-12
-5.435342775854785e-11,0.0,-5.3365569526034925e-11,-9.667930639150864e-11,-8.713939586112672e-12
-5.629053770045547e-11,0.0,-7.251394858735926e-11,-1.0711121523586845e-10,-2.0346162735047408e-11
-7.083508690899798e-11,0.0,-1.0681995489555775e-10,-1.5849938230772177e-11,-9.088101829541981e-11
-7.707955282841818e-11,0.0,-6.294513377837336e-11,-1.0424660648384906e-10,-9.892128479114076e-11
-7.287898870049162e-11,0.0,-1.1090910122974228e-10,-1.0983938660673057e-10,-1.360867992418851e-10
-5.062097871748396e-11,0.0,-4.4069105564537097e-11,-1.2041482188509795e-10,-8.769181112210848e-12
-4.858693690926978e-11,0.0,-3.19046762286443e-11,-4.5488848529742255e-11,-8.57672821027449e-12
-7.765171287292679e-11,0.0,-3.1388659074814366e-11,-1.5495671789337655e-11,-1.8021254031897654e-11
-4.9124845597319586e-11,0.0,-3.144472583660551e-11,-2.1319008249194602e-11,-2.6466122996987956e-11
-5.1360146621735507e-11,0.0,-3.237776247044965e-11,-1.5509693597809972e-11,-8.04551368013569e-12
-5.626142694134886e-11,0.0,-3.5042210830374394e-11,-6.73181461505444e-11,-8.011683675828716e-12
-1.3769795417267948e-10,0.0,-3.831005819570454e-11,-3.5125598724077426e-11,-7.938266549897517e-12
-1.663282323308755e-10,0.0,-4.248757985868705e-11,-5.134385444012969e-11,-7.840863475113916e-12
-2.0454933837394804e-10,0.0,-4.677035646784013e-11,-1.726071282508474e-11,-7.729822377116962e-12
-1.1045955712166971e-10,0.0,-5.1124528850140927e-11,-1.7116338937332152e-11,-7.648634408209697e-12
-1.3301401443221928e-10,0.0,-5.51643597725387e-11,-2.1669345562701675e-11,-7.661378446615088e-12
-1.5451263047586248e-10,0.0,-5.862717077725059e-11,-1.7668818033353452e-11,-1.124102816028367e-11
-1.0519929941619618e-10,0.0,-6.190343459854863e-11,-1.781073711083757e-11,-7.754856204758542e-12
-1.282926055460685e-10,0.0,-6.382027204919754e-11,-1.7929287722936796e-11,-2.877726989977964e-11
-1.209735037583018e-10,0.0,-6.496809225713612e-11,-1.7967982900669382e-11,-2.561557555765699e-11
-1.0748621265323732e-10,0.0,-6.453894282791658e-11,-1.7953450220623223e-11,-8.6676445125257e-12
-1.0466528802088138e-10,0.0,-6.384643610138311e-11,-1.797527248370305e-11,-8.180762730623064e-11
-1.0201730534767188e-10,0.0,-1.0288000035417998e-10,-1.7859160839477282e-11,-6.235428818544148e-11
-9.77664726255134e-11,0.0,-1.3858721256304634e-10,-1.76856606402663e-11,-1.8972703091679584e-11
-9.254391114244693e-11,0.0,-1.3532197021177296e-10,-1.755097671375947e-11,-9.124951983182291e-11
-8.679595658872845e-11,0.0,-5.6793062690609257e-11,-1.7332739210697472e-11,-8.759868130768993e-11
-8.187320841661669e-11,0.0,-5.5135159779319096e-11,-1.70698853795548e-11,-1.1955224300275053e-11
-8.003746694165061e-11,0.0,-5.537027860888031e-11,-1.693061787206488e-11,-6.500636430710586e-11
-7.923930798064213e-11,0.0,-5.5951800976089825e-11,-1.6769652598407597e-11,-4.1730447696066825e-11
-7.951014908610745e-11,0.0,-5.7041686156935596e-11,-1.6638800722753854e-11,-5.962185752292919e-11
-8.181648887879614e-11,0.0,-5.893305425470012e-11,-6.724825478868878e-11,-1.43469955564411e-11
-1.4290972341662616e-10,0.0,-7.54646533085703e-11,-5.35374116027619e-11,-1.4401954679258644e-11
-8.392799856566657e-11,0.0,-1.1992211731025367e-10,-2.1443259400617768e-11,-1.4245743141152899e-11
-8.176610703932766e-11,0.0,-6.710265425240196e-11,-8.182367704932603e-11,-1.39837400519578e-11
-7.87819517103379e-11,0.0,-6.0839578861071e-11,-1.702998449622346e-11,-3.136024854388094e-11
-7.54868744387381e-11,0.0,-5.337381743358969e-11,-4.3262605569206954e-11,-1.418049315275029e-10
-9.009622379216712e-11,0.0,-5.158882555262873e-11,-8.275765424959338e-11,-9.785207293335543e-11
-8.304189975295712e-11,0.0,-7.520996950620415e-11,-1.6828123268021735e-11,-5.136370229804956e-11
-6.935582586468495e-11,0.0,-6.628474755418928e-11,-4.9826270660797164e-11,-1.2406974434733544e-11
-6.644991756276068e-11,0.0,-6.07312498414532e-11,-1.6649702254962692e-11,-1.205620253304855e-11
-6.350099090483096e-11,0.0,-6.671480731907345e-11,-1.6706939792461474e-11,-1.515232599908623e-11
